tournament,race,opponentrace,games,wins,draws,losses,percentage
EuroBowl - 2008,Dwarves,Chaos Dwarves,1,0,0,1,0.0
EuroBowl - 2008,Skaven,Dark Elves,2,2,0,0,1.0
EuroBowl - 2008,Skaven,Amazons,4,0,1,3,0.125
EuroBowl - 2008,Skaven,Khemri,2,2,0,0,1.0
EuroBowl - 2008,Skaven,Lizardmen,7,1,4,2,0.42857142857142855
EuroBowl - 2008,Skaven,Wood Elves,11,2,1,8,0.22727272727272727
EuroBowl - 2008,Skaven,Necromantic,2,1,0,1,0.5
EuroBowl - 2008,Skaven,Norse,2,1,0,1,0.5
EuroBowl - 2008,Skaven,Undead,8,1,1,6,0.1875
EuroBowl - 2008,Skaven,Elves,3,2,0,1,0.6666666666666666
EuroBowl - 2008,Skaven,Orc,9,5,2,2,0.6666666666666666
EuroBowl - 2008,Skaven,Dwarves,7,0,2,5,0.14285714285714285
EuroBowl - 2008,Skaven,Skaven,4,2,0,2,0.5
EuroBowl - 2008,Skaven,Chaos Dwarves,5,1,1,3,0.3
EuroBowl - 2008,Chaos Dwarves,Dark Elves,4,0,1,3,0.125
EuroBowl - 2008,Chaos Dwarves,Amazons,9,3,3,3,0.5
EuroBowl - 2008,Chaos Dwarves,Lizardmen,4,4,0,0,1.0
EuroBowl - 2008,Chaos Dwarves,Wood Elves,7,0,3,4,0.21428571428571427
EuroBowl - 2008,Chaos Dwarves,Necromantic,4,2,1,1,0.625
EuroBowl - 2008,Chaos Dwarves,Norse,5,3,0,2,0.6
EuroBowl - 2008,Chaos Dwarves,Undead,4,2,1,1,0.625
EuroBowl - 2008,Chaos Dwarves,Orc,3,0,1,2,0.16666666666666666
EuroBowl - 2008,Chaos Dwarves,Dwarves,1,1,0,0,1.0
EuroBowl - 2008,Chaos Dwarves,Skaven,5,3,1,1,0.7
EuroBowl - 2008,Chaos Dwarves,Chaos Dwarves,8,4,0,4,0.5
EurOpen - 2012,Dark Elves,Dark Elves,4,2,0,2,0.5
EurOpen - 2012,Dark Elves,Amazons,4,1,2,1,0.5
EurOpen - 2012,Dark Elves,Wood Elves,3,1,1,1,0.5
EurOpen - 2012,Dark Elves,Necromantic,2,2,0,0,1.0
EurOpen - 2012,Dark Elves,Norse,4,2,0,2,0.5
EurOpen - 2012,Dark Elves,Orc,1,1,0,0,1.0
EurOpen - 2012,Dark Elves,Chaos Dwarves,3,0,1,2,0.16666666666666666
EurOpen - 2012,Amazons,Dark Elves,4,1,2,1,0.5
EurOpen - 2012,Amazons,Amazons,2,1,0,1,0.5
EurOpen - 2012,Amazons,Wood Elves,2,0,0,2,0.0
EurOpen - 2012,Amazons,Necromantic,5,2,1,2,0.5
EurOpen - 2012,Amazons,Orc,1,0,0,1,0.0
EurOpen - 2012,Wood Elves,Dark Elves,3,1,1,1,0.5
EurOpen - 2012,Wood Elves,Amazons,2,2,0,0,1.0
EurOpen - 2012,Wood Elves,Wood Elves,2,1,0,1,0.5
EurOpen - 2012,Wood Elves,Necromantic,2,1,0,1,0.5
EurOpen - 2012,Wood Elves,Norse,3,1,0,2,0.3333333333333333
EurOpen - 2012,Wood Elves,Orc,1,0,1,0,0.5
EurOpen - 2012,Wood Elves,Chaos Dwarves,1,0,1,0,0.5
EurOpen - 2012,Necromantic,Dark Elves,2,0,0,2,0.0
EurOpen - 2012,Necromantic,Amazons,5,2,1,2,0.5
EurOpen - 2012,Necromantic,Wood Elves,2,1,0,1,0.5
EurOpen - 2012,Necromantic,Necromantic,6,3,0,3,0.5
EurOpen - 2012,Necromantic,Norse,2,0,0,2,0.0
EurOpen - 2012,Necromantic,Goblins,1,0,0,1,0.0
EurOpen - 2012,Necromantic,Orc,2,0,0,2,0.0
EurOpen - 2012,Norse,Dark Elves,4,2,0,2,0.5
EurOpen - 2012,Norse,Wood Elves,3,2,0,1,0.6666666666666666
EurOpen - 2012,Norse,Necromantic,2,2,0,0,1.0
EurOpen - 2012,Norse,Norse,2,1,0,1,0.5
EurOpen - 2012,Norse,Orc,1,1,0,0,1.0
EurOpen - 2012,Norse,Chaos Dwarves,2,1,0,1,0.5
EurOpen - 2012,Goblins,Necromantic,1,1,0,0,1.0
EurOpen - 2012,Orc,Dark Elves,1,0,0,1,0.0
EurOpen - 2012,Orc,Amazons,1,1,0,0,1.0
EurOpen - 2012,Orc,Wood Elves,1,0,1,0,0.5
EurOpen - 2012,Orc,Necromantic,2,2,0,0,1.0
EurOpen - 2012,Orc,Norse,1,0,0,1,0.0
EurOpen - 2012,Orc,Chaos Dwarves,1,0,0,1,0.0
EurOpen - 2012,Chaos Dwarves,Dark Elves,3,2,1,0,0.8333333333333334
EurOpen - 2012,Chaos Dwarves,Wood Elves,1,0,1,0,0.5
EurOpen - 2012,Chaos Dwarves,Norse,2,1,0,1,0.5
EurOpen - 2012,Chaos Dwarves,Orc,1,1,0,0,1.0
EuroBowl - 2005,Amazons,Khemri,1,1,0,0,1.0
EuroBowl - 2005,Amazons,Lizardmen,1,0,0,1,0.0
EuroBowl - 2005,Amazons,Wood Elves,1,1,0,0,1.0
EuroBowl - 2005,Amazons,Necromantic,2,1,1,0,0.75
EuroBowl - 2005,Amazons,Undead,4,1,3,0,0.625
EuroBowl - 2005,Amazons,Dwarves,1,0,0,1,0.0
EuroBowl - 2005,Amazons,Skaven,5,5,0,0,1.0
EuroBowl - 2005,Amazons,Chaos Dwarves,1,1,0,0,1.0
EuroBowl - 2005,Khemri,Amazons,1,0,0,1,0.0
EuroBowl - 2005,Khemri,Wood Elves,2,1,0,1,0.5
EuroBowl - 2005,Khemri,Orc,1,1,0,0,1.0
EuroBowl - 2005,Khemri,Dwarves,1,0,1,0,0.5
EuroBowl - 2005,Khemri,Chaos Dwarves,1,1,0,0,1.0
EuroBowl - 2005,Lizardmen,Amazons,1,1,0,0,1.0
EuroBowl - 2005,Lizardmen,Lizardmen,2,1,0,1,0.5
EuroBowl - 2005,Lizardmen,Wood Elves,1,1,0,0,1.0
EuroBowl - 2005,Lizardmen,Necromantic,5,3,1,1,0.7
EuroBowl - 2005,Lizardmen,Undead,2,0,0,2,0.0
EuroBowl - 2005,Lizardmen,Humans,1,1,0,0,1.0
EuroBowl - 2005,Lizardmen,Orc,5,0,2,3,0.2
EuroBowl - 2005,Lizardmen,Dwarves,3,1,0,2,0.3333333333333333
EuroBowl - 2005,Lizardmen,Skaven,5,1,3,1,0.5
EuroBowl - 2005,Lizardmen,Chaos Dwarves,3,1,1,1,0.5
EuroBowl - 2005,Wood Elves,Amazons,1,0,0,1,0.0
EuroBowl - 2005,Wood Elves,Khemri,2,1,0,1,0.5
EuroBowl - 2005,Wood Elves,Lizardmen,1,0,0,1,0.0
EuroBowl - 2005,Wood Elves,Wood Elves,2,0,2,0,0.5
EuroBowl - 2005,Wood Elves,Necromantic,2,0,0,2,0.0
EuroBowl - 2005,Wood Elves,Norse,2,1,0,1,0.5
EuroBowl - 2005,Wood Elves,Undead,1,0,0,1,0.0
EuroBowl - 2005,Wood Elves,Humans,2,0,1,1,0.25
EuroBowl - 2005,Wood Elves,Orc,2,1,1,0,0.75
EuroBowl - 2005,Wood Elves,Dwarves,3,1,1,1,0.5
EuroBowl - 2005,Wood Elves,Skaven,2,1,0,1,0.5
EuroBowl - 2005,Wood Elves,Chaos Dwarves,3,3,0,0,1.0
EuroBowl - 2005,Necromantic,Amazons,2,0,1,1,0.25
EuroBowl - 2005,Necromantic,Lizardmen,5,1,1,3,0.3
EuroBowl - 2005,Necromantic,Wood Elves,2,2,0,0,1.0
EuroBowl - 2005,Necromantic,Necromantic,2,1,0,1,0.5
EuroBowl - 2005,Necromantic,Norse,3,0,1,2,0.16666666666666666
EuroBowl - 2005,Necromantic,Undead,3,2,0,1,0.6666666666666666
EuroBowl - 2005,Necromantic,Humans,1,1,0,0,1.0
EuroBowl - 2005,Necromantic,Orc,8,4,3,1,0.6875
EuroBowl - 2005,Necromantic,Dwarves,7,3,2,2,0.5714285714285714
EuroBowl - 2005,Necromantic,Skaven,5,1,2,2,0.4
EuroBowl - 2005,Necromantic,Chaos Dwarves,3,2,0,1,0.6666666666666666
EuroBowl - 2005,Norse,Wood Elves,2,1,0,1,0.5
EuroBowl - 2005,Norse,Necromantic,3,2,1,0,0.8333333333333334
EuroBowl - 2005,Norse,Undead,7,1,3,3,0.35714285714285715
EuroBowl - 2005,Norse,Humans,1,1,0,0,1.0
EuroBowl - 2005,Norse,Orc,4,1,2,1,0.5
EuroBowl - 2005,Norse,Dwarves,4,3,1,0,0.875
EuroBowl - 2005,Norse,Skaven,4,1,2,1,0.5
EuroBowl - 2005,Norse,Chaos Dwarves,2,0,0,2,0.0
EuroBowl - 2005,Undead,Amazons,4,0,3,1,0.375
EuroBowl - 2005,Undead,Lizardmen,2,2,0,0,1.0
EuroBowl - 2005,Undead,Wood Elves,1,1,0,0,1.0
EuroBowl - 2005,Undead,Necromantic,3,1,0,2,0.3333333333333333
EuroBowl - 2005,Undead,Norse,7,3,3,1,0.6428571428571429
EuroBowl - 2005,Undead,Undead,2,1,0,1,0.5
EuroBowl - 2005,Undead,Humans,1,1,0,0,1.0
EuroBowl - 2005,Undead,Orc,2,0,0,2,0.0
EuroBowl - 2005,Undead,Dwarves,2,2,0,0,1.0
EuroBowl - 2005,Undead,Skaven,10,5,3,2,0.65
EuroBowl - 2005,Undead,Chaos Dwarves,5,3,1,1,0.7
EuroBowl - 2005,Humans,Lizardmen,1,0,0,1,0.0
EuroBowl - 2005,Humans,Wood Elves,2,1,1,0,0.75
EuroBowl - 2005,Humans,Necromantic,1,0,0,1,0.0
EuroBowl - 2005,Humans,Norse,1,0,0,1,0.0
EuroBowl - 2005,Humans,Undead,1,0,0,1,0.0
EuroBowl - 2005,Humans,Orc,2,1,0,1,0.5
EuroBowl - 2005,Humans,Skaven,2,0,0,2,0.0
EuroBowl - 2005,Humans,Chaos Dwarves,2,2,0,0,1.0
EuroBowl - 2005,Orc,Khemri,1,0,0,1,0.0
EuroBowl - 2005,Orc,Lizardmen,5,3,2,0,0.8
EuroBowl - 2005,Orc,Wood Elves,2,0,1,1,0.25
EuroBowl - 2005,Orc,Necromantic,8,1,3,4,0.3125
EuroBowl - 2005,Orc,Norse,4,1,2,1,0.5
EuroBowl - 2005,Orc,Undead,2,2,0,0,1.0
EuroBowl - 2005,Orc,Humans,2,1,0,1,0.5
EuroBowl - 2005,Orc,Orc,6,2,2,2,0.5
EuroBowl - 2005,Orc,Dwarves,4,1,0,3,0.25
EuroBowl - 2005,Orc,Skaven,3,1,1,1,0.5
EuroBowl - 2005,Orc,Chaos Dwarves,4,1,3,0,0.625
EuroBowl - 2005,Dwarves,Amazons,1,1,0,0,1.0
EuroBowl - 2005,Dwarves,Khemri,1,0,1,0,0.5
EuroBowl - 2005,Dwarves,Lizardmen,3,2,0,1,0.6666666666666666
EuroBowl - 2005,Dwarves,Wood Elves,3,1,1,1,0.5
EuroBowl - 2005,Dwarves,Necromantic,7,2,2,3,0.42857142857142855
EuroBowl - 2005,Dwarves,Norse,4,0,1,3,0.125
EuroBowl - 2005,Dwarves,Undead,2,0,0,2,0.0
EuroBowl - 2005,Dwarves,Orc,4,3,0,1,0.75
EuroBowl - 2005,Dwarves,Dwarves,2,1,0,1,0.5
EuroBowl - 2005,Dwarves,Skaven,2,0,0,2,0.0
EuroBowl - 2005,Dwarves,Chaos Dwarves,5,2,1,2,0.5
EuroBowl - 2005,Skaven,Amazons,5,0,0,5,0.0
EuroBowl - 2005,Skaven,Lizardmen,5,1,3,1,0.5
EuroBowl - 2005,Skaven,Wood Elves,2,1,0,1,0.5
EuroBowl - 2005,Skaven,Necromantic,5,2,2,1,0.6
EuroBowl - 2005,Skaven,Norse,4,1,2,1,0.5
EuroBowl - 2005,Skaven,Undead,10,2,3,5,0.35
EuroBowl - 2005,Skaven,Humans,2,2,0,0,1.0
EuroBowl - 2005,Skaven,Orc,3,1,1,1,0.5
EuroBowl - 2005,Skaven,Dwarves,2,2,0,0,1.0
EuroBowl - 2005,Skaven,Skaven,4,2,0,2,0.5
EuroBowl - 2005,Skaven,Chaos Dwarves,5,4,0,1,0.8
EuroBowl - 2005,Chaos Dwarves,Amazons,1,0,0,1,0.0
EuroBowl - 2005,Chaos Dwarves,Khemri,1,0,0,1,0.0
EuroBowl - 2005,Chaos Dwarves,Lizardmen,3,1,1,1,0.5
EuroBowl - 2005,Chaos Dwarves,Wood Elves,3,0,0,3,0.0
EuroBowl - 2005,Chaos Dwarves,Necromantic,3,1,0,2,0.3333333333333333
EuroBowl - 2005,Chaos Dwarves,Norse,2,2,0,0,1.0
EuroBowl - 2005,Chaos Dwarves,Undead,5,1,1,3,0.3
EuroBowl - 2005,Chaos Dwarves,Humans,2,0,0,2,0.0
EuroBowl - 2005,Chaos Dwarves,Orc,4,0,3,1,0.375
EuroBowl - 2005,Chaos Dwarves,Dwarves,5,2,1,2,0.5
EuroBowl - 2005,Chaos Dwarves,Skaven,5,1,0,4,0.2
EurOpen - 2014,Ogres,Dark Elves,1,0,0,1,0.0
EurOpen - 2014,Ogres,Wood Elves,1,0,0,1,0.0
EurOpen - 2014,Ogres,Necromantic,1,0,0,1,0.0
EurOpen - 2014,Ogres,Norse,1,0,0,1,0.0
EurOpen - 2014,Ogres,Chaos,2,2,0,0,1.0
EurOpen - 2014,Ogres,Humans,4,0,1,3,0.125
EurOpen - 2014,Ogres,Skaven,1,0,0,1,0.0
EurOpen - 2014,Ogres,Chaos Dwarves,1,0,0,1,0.0
EurOpen - 2014,Dark Elves,Ogres,1,1,0,0,1.0
EurOpen - 2014,Dark Elves,Dark Elves,2,1,0,1,0.5
EurOpen - 2014,Dark Elves,Amazons,1,0,1,0,0.5
EurOpen - 2014,Dark Elves,Halflings,1,1,0,0,1.0
EurOpen - 2014,Dark Elves,Khemri,2,1,1,0,0.75
EurOpen - 2014,Dark Elves,High Elves,1,0,0,1,0.0
EurOpen - 2014,Dark Elves,Lizardmen,3,0,1,2,0.16666666666666666
EurOpen - 2014,Dark Elves,Wood Elves,3,0,0,3,0.0
EurOpen - 2014,Dark Elves,Nurgle's Rotters,1,0,1,0,0.5
EurOpen - 2014,Dark Elves,Norse,6,3,1,2,0.5833333333333334
EurOpen - 2014,Dark Elves,Goblins,2,2,0,0,1.0
EurOpen - 2014,Dark Elves,Undead,7,2,0,5,0.2857142857142857
EurOpen - 2014,Dark Elves,Humans,3,1,1,1,0.5
EurOpen - 2014,Dark Elves,Elves,1,0,1,0,0.5
EurOpen - 2014,Dark Elves,Orc,5,3,0,2,0.6
EurOpen - 2014,Dark Elves,Dwarves,2,0,0,2,0.0
EurOpen - 2014,Dark Elves,Skaven,7,2,2,3,0.42857142857142855
EurOpen - 2014,Amazons,Dark Elves,1,0,1,0,0.5
EurOpen - 2014,Amazons,High Elves,1,0,0,1,0.0
EurOpen - 2014,Amazons,Lizardmen,4,1,1,2,0.375
EurOpen - 2014,Amazons,Wood Elves,2,1,0,1,0.5
EurOpen - 2014,Amazons,Norse,1,0,0,1,0.0
EurOpen - 2014,Amazons,Goblins,1,1,0,0,1.0
EurOpen - 2014,Amazons,Undead,1,1,0,0,1.0
EurOpen - 2014,Amazons,Elves,3,1,2,0,0.6666666666666666
EurOpen - 2014,Amazons,Orc,2,0,1,1,0.25
EurOpen - 2014,Amazons,Dwarves,2,1,1,0,0.75
EurOpen - 2014,Halflings,Dark Elves,1,0,0,1,0.0
EurOpen - 2014,Halflings,Lizardmen,1,1,0,0,1.0
EurOpen - 2014,Halflings,Norse,2,0,0,2,0.0
EurOpen - 2014,Halflings,Undead,2,0,1,1,0.25
EurOpen - 2014,Halflings,Elves,2,1,0,1,0.5
EurOpen - 2014,Halflings,Orc,2,1,0,1,0.5
EurOpen - 2014,Halflings,Dwarves,2,0,1,1,0.25
EurOpen - 2014,Khemri,Dark Elves,2,0,1,1,0.25
EurOpen - 2014,Khemri,High Elves,1,0,1,0,0.5
EurOpen - 2014,Khemri,Lizardmen,3,1,2,0,0.6666666666666666
EurOpen - 2014,Khemri,Wood Elves,5,1,2,2,0.4
EurOpen - 2014,Khemri,Nurgle's Rotters,1,1,0,0,1.0
EurOpen - 2014,Khemri,Necromantic,1,0,1,0,0.5
EurOpen - 2014,Khemri,Norse,2,1,1,0,0.75
EurOpen - 2014,Khemri,Goblins,1,1,0,0,1.0
EurOpen - 2014,Khemri,Undead,6,1,0,5,0.16666666666666666
EurOpen - 2014,Khemri,Humans,4,1,2,1,0.5
EurOpen - 2014,Khemri,Elves,2,0,0,2,0.0
EurOpen - 2014,Khemri,Orc,5,5,0,0,1.0
EurOpen - 2014,Khemri,Dwarves,1,1,0,0,1.0
EurOpen - 2014,Khemri,Skaven,1,1,0,0,1.0
EurOpen - 2014,Khemri,Chaos Dwarves,1,1,0,0,1.0
EurOpen - 2014,High Elves,Dark Elves,1,1,0,0,1.0
EurOpen - 2014,High Elves,Amazons,1,1,0,0,1.0
EurOpen - 2014,High Elves,Khemri,1,0,1,0,0.5
EurOpen - 2014,High Elves,Norse,2,1,0,1,0.5
EurOpen - 2014,High Elves,Chaos,1,0,1,0,0.5
EurOpen - 2014,High Elves,Humans,3,1,1,1,0.5
EurOpen - 2014,High Elves,Dwarves,1,0,0,1,0.0
EurOpen - 2014,High Elves,Skaven,2,0,1,1,0.25
EurOpen - 2014,Lizardmen,Dark Elves,3,2,1,0,0.8333333333333334
EurOpen - 2014,Lizardmen,Amazons,4,2,1,1,0.625
EurOpen - 2014,Lizardmen,Halflings,1,0,0,1,0.0
EurOpen - 2014,Lizardmen,Khemri,3,0,2,1,0.3333333333333333
EurOpen - 2014,Lizardmen,Wood Elves,6,1,1,4,0.25
EurOpen - 2014,Lizardmen,Nurgle's Rotters,1,1,0,0,1.0
EurOpen - 2014,Lizardmen,Norse,5,3,1,1,0.7
EurOpen - 2014,Lizardmen,Goblins,2,0,2,0,0.5
EurOpen - 2014,Lizardmen,Chaos Pact,1,0,0,1,0.0
EurOpen - 2014,Lizardmen,Undead,2,0,1,1,0.25
EurOpen - 2014,Lizardmen,Chaos,1,1,0,0,1.0
EurOpen - 2014,Lizardmen,Humans,1,0,1,0,0.5
EurOpen - 2014,Lizardmen,Elves,4,1,1,2,0.375
EurOpen - 2014,Lizardmen,Orc,3,1,0,2,0.3333333333333333
EurOpen - 2014,Lizardmen,Dwarves,7,2,2,3,0.42857142857142855
EurOpen - 2014,Lizardmen,Skaven,3,2,1,0,0.8333333333333334
EurOpen - 2014,Lizardmen,Chaos Dwarves,1,1,0,0,1.0
EurOpen - 2014,Wood Elves,Ogres,1,1,0,0,1.0
EurOpen - 2014,Wood Elves,Dark Elves,3,3,0,0,1.0
EurOpen - 2014,Wood Elves,Amazons,2,1,0,1,0.5
EurOpen - 2014,Wood Elves,Khemri,5,2,2,1,0.6
EurOpen - 2014,Wood Elves,Lizardmen,6,4,1,1,0.75
EurOpen - 2014,Wood Elves,Wood Elves,12,5,2,5,0.5
EurOpen - 2014,Wood Elves,Nurgle's Rotters,2,1,1,0,0.75
EurOpen - 2014,Wood Elves,Norse,6,5,0,1,0.8333333333333334
EurOpen - 2014,Wood Elves,Goblins,1,0,1,0,0.5
EurOpen - 2014,Wood Elves,Chaos Pact,2,0,1,1,0.25
EurOpen - 2014,Wood Elves,Undead,12,3,6,3,0.5
EurOpen - 2014,Wood Elves,Chaos,3,0,2,1,0.3333333333333333
EurOpen - 2014,Wood Elves,Humans,4,1,1,2,0.375
EurOpen - 2014,Wood Elves,Elves,3,1,2,0,0.6666666666666666
EurOpen - 2014,Wood Elves,Orc,6,6,0,0,1.0
EurOpen - 2014,Wood Elves,Dwarves,2,2,0,0,1.0
EurOpen - 2014,Wood Elves,Skaven,8,6,1,1,0.8125
EurOpen - 2014,Nurgle's Rotters,Dark Elves,1,0,1,0,0.5
EurOpen - 2014,Nurgle's Rotters,Khemri,1,0,0,1,0.0
EurOpen - 2014,Nurgle's Rotters,Lizardmen,1,0,0,1,0.0
EurOpen - 2014,Nurgle's Rotters,Wood Elves,2,0,1,1,0.25
EurOpen - 2014,Nurgle's Rotters,Nurgle's Rotters,2,1,0,1,0.5
EurOpen - 2014,Nurgle's Rotters,Norse,2,1,1,0,0.75
EurOpen - 2014,Nurgle's Rotters,Chaos,1,0,1,0,0.5
EurOpen - 2014,Nurgle's Rotters,Humans,2,1,1,0,0.75
EurOpen - 2014,Nurgle's Rotters,Orc,2,0,1,1,0.25
EurOpen - 2014,Nurgle's Rotters,Dwarves,1,0,0,1,0.0
EurOpen - 2014,Nurgle's Rotters,Skaven,3,0,1,2,0.16666666666666666
EurOpen - 2014,Necromantic,Ogres,1,1,0,0,1.0
EurOpen - 2014,Necromantic,Khemri,1,0,1,0,0.5
EurOpen - 2014,Necromantic,Norse,2,0,0,2,0.0
EurOpen - 2014,Necromantic,Goblins,1,0,0,1,0.0
EurOpen - 2014,Necromantic,Chaos Pact,1,0,0,1,0.0
EurOpen - 2014,Necromantic,Chaos,1,1,0,0,1.0
EurOpen - 2014,Necromantic,Humans,2,0,0,2,0.0
EurOpen - 2014,Necromantic,Elves,1,0,0,1,0.0
EurOpen - 2014,Necromantic,Dwarves,1,1,0,0,1.0
EurOpen - 2014,Necromantic,Skaven,1,0,0,1,0.0
EurOpen - 2014,Norse,Ogres,1,1,0,0,1.0
EurOpen - 2014,Norse,Dark Elves,6,2,1,3,0.4166666666666667
EurOpen - 2014,Norse,Amazons,1,1,0,0,1.0
EurOpen - 2014,Norse,Halflings,2,2,0,0,1.0
EurOpen - 2014,Norse,Khemri,2,0,1,1,0.25
EurOpen - 2014,Norse,High Elves,2,1,0,1,0.5
EurOpen - 2014,Norse,Lizardmen,5,1,1,3,0.3
EurOpen - 2014,Norse,Wood Elves,6,1,0,5,0.16666666666666666
EurOpen - 2014,Norse,Nurgle's Rotters,2,0,1,1,0.25
EurOpen - 2014,Norse,Necromantic,2,2,0,0,1.0
EurOpen - 2014,Norse,Norse,12,4,4,4,0.5
EurOpen - 2014,Norse,Undead,4,2,0,2,0.5
EurOpen - 2014,Norse,Chaos,3,1,0,2,0.3333333333333333
EurOpen - 2014,Norse,Humans,6,3,0,3,0.5
EurOpen - 2014,Norse,Elves,2,1,0,1,0.5
EurOpen - 2014,Norse,Orc,1,0,0,1,0.0
EurOpen - 2014,Norse,Dwarves,4,4,0,0,1.0
EurOpen - 2014,Norse,Skaven,5,2,2,1,0.6
EurOpen - 2014,Goblins,Dark Elves,2,0,0,2,0.0
EurOpen - 2014,Goblins,Amazons,1,0,0,1,0.0
EurOpen - 2014,Goblins,Khemri,1,0,0,1,0.0
EurOpen - 2014,Goblins,Lizardmen,2,0,2,0,0.5
EurOpen - 2014,Goblins,Wood Elves,1,0,1,0,0.5
EurOpen - 2014,Goblins,Necromantic,1,1,0,0,1.0
EurOpen - 2014,Goblins,Chaos,2,1,0,1,0.5
EurOpen - 2014,Goblins,Elves,1,1,0,0,1.0
EurOpen - 2014,Goblins,Dwarves,1,0,0,1,0.0
EurOpen - 2014,Chaos Pact,Lizardmen,1,1,0,0,1.0
EurOpen - 2014,Chaos Pact,Wood Elves,2,1,1,0,0.75
EurOpen - 2014,Chaos Pact,Necromantic,1,1,0,0,1.0
EurOpen - 2014,Chaos Pact,Undead,2,1,1,0,0.75
EurOpen - 2014,Undead,Dark Elves,7,5,0,2,0.7142857142857143
EurOpen - 2014,Undead,Amazons,1,0,0,1,0.0
EurOpen - 2014,Undead,Halflings,2,1,1,0,0.75
EurOpen - 2014,Undead,Khemri,6,5,0,1,0.8333333333333334
EurOpen - 2014,Undead,Lizardmen,2,1,1,0,0.75
EurOpen - 2014,Undead,Wood Elves,12,3,6,3,0.5
EurOpen - 2014,Undead,Norse,4,2,0,2,0.5
EurOpen - 2014,Undead,Chaos Pact,2,0,1,1,0.25
EurOpen - 2014,Undead,Undead,6,3,0,3,0.5
EurOpen - 2014,Undead,Chaos,1,1,0,0,1.0
EurOpen - 2014,Undead,Humans,8,4,2,2,0.625
EurOpen - 2014,Undead,Elves,4,2,0,2,0.5
EurOpen - 2014,Undead,Orc,4,1,1,2,0.375
EurOpen - 2014,Undead,Dwarves,10,5,3,2,0.65
EurOpen - 2014,Undead,Skaven,3,1,0,2,0.3333333333333333
EurOpen - 2014,Chaos,Ogres,2,0,0,2,0.0
EurOpen - 2014,Chaos,High Elves,1,0,1,0,0.5
EurOpen - 2014,Chaos,Lizardmen,1,0,0,1,0.0
EurOpen - 2014,Chaos,Wood Elves,3,1,2,0,0.6666666666666666
EurOpen - 2014,Chaos,Nurgle's Rotters,1,0,1,0,0.5
EurOpen - 2014,Chaos,Necromantic,1,0,0,1,0.0
EurOpen - 2014,Chaos,Norse,3,2,0,1,0.6666666666666666
EurOpen - 2014,Chaos,Goblins,2,1,0,1,0.5
EurOpen - 2014,Chaos,Undead,1,0,0,1,0.0
EurOpen - 2014,Chaos,Humans,1,0,0,1,0.0
EurOpen - 2014,Chaos,Orc,1,0,1,0,0.5
EurOpen - 2014,Chaos,Dwarves,1,0,1,0,0.5
EurOpen - 2014,Humans,Ogres,4,3,1,0,0.875
EurOpen - 2014,Humans,Dark Elves,3,1,1,1,0.5
EurOpen - 2014,Humans,Khemri,4,1,2,1,0.5
EurOpen - 2014,Humans,High Elves,3,1,1,1,0.5
EurOpen - 2014,Humans,Lizardmen,1,0,1,0,0.5
EurOpen - 2014,Humans,Wood Elves,4,2,1,1,0.625
EurOpen - 2014,Humans,Nurgle's Rotters,2,0,1,1,0.25
EurOpen - 2014,Humans,Necromantic,2,2,0,0,1.0
EurOpen - 2014,Humans,Norse,6,3,0,3,0.5
EurOpen - 2014,Humans,Undead,8,2,2,4,0.375
EurOpen - 2014,Humans,Chaos,1,1,0,0,1.0
EurOpen - 2014,Humans,Humans,4,1,2,1,0.5
EurOpen - 2014,Humans,Elves,2,0,1,1,0.25
EurOpen - 2014,Humans,Orc,8,2,1,5,0.3125
EurOpen - 2014,Humans,Dwarves,8,1,4,3,0.375
EurOpen - 2014,Elves,Dark Elves,1,0,1,0,0.5
EurOpen - 2014,Elves,Amazons,3,0,2,1,0.3333333333333333
EurOpen - 2014,Elves,Halflings,2,1,0,1,0.5
EurOpen - 2014,Elves,Khemri,2,2,0,0,1.0
EurOpen - 2014,Elves,Lizardmen,4,2,1,1,0.625
EurOpen - 2014,Elves,Wood Elves,3,0,2,1,0.3333333333333333
EurOpen - 2014,Elves,Necromantic,1,1,0,0,1.0
EurOpen - 2014,Elves,Norse,2,1,0,1,0.5
EurOpen - 2014,Elves,Goblins,1,0,0,1,0.0
EurOpen - 2014,Elves,Undead,4,2,0,2,0.5
EurOpen - 2014,Elves,Humans,2,1,1,0,0.75
EurOpen - 2014,Elves,Orc,1,0,1,0,0.5
EurOpen - 2014,Elves,Dwarves,2,1,0,1,0.5
EurOpen - 2014,Elves,Skaven,2,2,0,0,1.0
EurOpen - 2014,Orc,Dark Elves,5,2,0,3,0.4
EurOpen - 2014,Orc,Amazons,2,1,1,0,0.75
EurOpen - 2014,Orc,Halflings,2,1,0,1,0.5
EurOpen - 2014,Orc,Khemri,5,0,0,5,0.0
EurOpen - 2014,Orc,Lizardmen,3,2,0,1,0.6666666666666666
EurOpen - 2014,Orc,Wood Elves,6,0,0,6,0.0
EurOpen - 2014,Orc,Nurgle's Rotters,2,1,1,0,0.75
EurOpen - 2014,Orc,Norse,1,1,0,0,1.0
EurOpen - 2014,Orc,Undead,4,2,1,1,0.625
EurOpen - 2014,Orc,Chaos,1,0,1,0,0.5
EurOpen - 2014,Orc,Humans,8,5,1,2,0.6875
EurOpen - 2014,Orc,Elves,1,0,1,0,0.5
EurOpen - 2014,Orc,Dwarves,7,4,2,1,0.7142857142857143
EurOpen - 2014,Orc,Skaven,1,0,0,1,0.0
